"ID","point","pressure","temperature","comp1","comp2","comp3","comp4","x1-molfrac","x2-kg","x3-molal","x4-molal","reference","comment"
16,16.000000000,18.600000000,313.310000000,"CO2","water","Na+","Cl-",0.004460000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
17,17.000000000,26.350000000,313.310000000,"CO2","water","Na+","Cl-",0.006170000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
18,18.000000000,38.441000000,313.310000000,"CO2","water","Na+","Cl-",0.008610000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
19,19.000000000,51.372000000,313.310000000,"CO2","water","Na+","Cl-",0.010890000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
20,20.000000000,63.730000000,313.310000000,"CO2","water","Na+","Cl-",0.012720000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
21,21.000000000,77.885000000,313.310000000,"CO2","water","Na+","Cl-",0.014310000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
22,22.000000000,91.289000000,313.310000000,"CO2","water","Na+","Cl-",0.015170000,1.000000000,2.500000000,2.500000000,"Kiepe2002","x1-nosalt"
23,23.000000000,1.893200000,313.380000000,"CO2","water","Na+","Cl-",0.000330000,1.000000000,4.000000000,4.000000000,"Kiepe2002","x1-nosalt"
24,24.000000000,3.799800000,313.380000000,"CO2","water","Na+","Cl-",0.000680000,1.000000000,4.000000000,4.000000000,"Kiepe2002","x1-nosalt"
25,25.000000000,5.609800000,313.380000000,"CO2","water","Na+","Cl-",0.001010000,1.000000000,4.000000000,4.000000000,"Kiepe2002","x1-nosalt"
26,26.000000000,8.356600000,313.380000000,"CO2","water","Na+","Cl-",0.001490000,1.000000000,4.000000000,4.000000000,"Kiepe2002","x1-nosalt"
