,ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,Pressure,VapourPressure2,Type,Temperature,Reference,x_CPA,dev
101,102,CO2,water,0.00462247,9.24494e-05,27.01,0,VLE,373.15,Zawisza1981,0.003919862394406549,-15.199830514712943
102,103,CO2,water,0.00472124,9.44248e-05,2.33,0,VLE,353.65,Nighswander1989,0.0003590214687514167,-92.395610713469
103,104,CO2,water,0.01133458,0.000226692,6.11,0,VLE,353.65,Nighswander1989,0.0010821749698076786,-90.4524475559952
104,105,CO2,water,0.01389342,0.000277868,7.76,0,VLE,353.65,Nighswander1989,0.0013937755797443952,-89.96808863660355
105,106,CO2,water,0.01400154,0.000280031,7.84,0,VLE,353.65,Nighswander1989,0.0014088202152485786,-89.93810527093035
106,107,CO2,water,0.00857752,0.00017155,4.31,0,VLE,353.35,Nighswander1989,0.0007431157751155062,-91.3364728369563
107,108,CO2,water,0.0084694,0.000169388,4.34,0,VLE,353.75,Nighswander1989,0.0007439258151831411,-91.21631030317211
108,109,CO2,water,0.0166685,0.00033337,10.16,0,VLE,353.45,Nighswander1989,0.0018475349749281786,-88.9160093893981
109,110,CO2,water,0.01688474,0.000337695,10.18,0,VLE,352.85,Nighswander1989,0.0018663497844517852,-88.9465293249894
110,111,CO2,water,0.0012028,2.4056e-05,0.914347,0,VLE,273.15,Morgan1931,0.0008829330112074693,-26.59353082744684
111,112,CO2,water,0.00151,3.02e-05,1.14326,0,VLE,273.15,Morgan1931,0.0011049836634873023,-26.822273941238254
112,113,CO2,water,9.829e-05,1.9658e-06,0.12103,0,VLE,283.15,Morgan1931,7.883974372010791e-05,-19.78864205910274
113,114,CO2,water,0.00025032,5.0064e-06,0.286891,0,VLE,283.15,Morgan1931,0.00019924646295605385,-20.40329859537638
114,115,CO2,water,0.00053175,1.0635e-05,0.57753,0,VLE,283.15,Morgan1931,0.00041000817049773204,-22.894561260417102
115,116,CO2,water,0.000810269,1.62054e-05,0.871776,0,VLE,283.15,Morgan1931,0.0006230883864497486,-23.101045893431863
116,117,CO2,water,0.0010159,2.0318e-05,1.12616,0,VLE,283.15,Morgan1931,0.0008070594486717157,-20.55719572086664
117,118,CO2,water,8.846e-05,1.7692e-06,0.143432,0,VLE,291.15,Morgan1931,7.209760186700831e-05,-18.49694566243691
118,119,CO2,water,0.00023762,4.7524e-06,0.32675,0,VLE,291.15,Morgan1931,0.00017983607307194935,-24.31778761385853
119,120,CO2,water,0.0004673,9.346e-06,0.67552,0,VLE,291.15,Morgan1931,0.00038453826552289444,-17.71062154442661
120,121,CO2,water,0.000713689,1.42738e-05,1.01296,0,VLE,291.15,Morgan1931,0.0005822456711591146,-18.417451977105625
121,122,CO2,water,8.19e-05,1.638e-06,0.163145,0,VLE,298.15,Morgan1931,6.521210705907761e-05,-20.37593765680389
122,123,CO2,water,0.00020564,4.1128e-06,0.368862,0,VLE,298.15,Morgan1931,0.00016729068549588752,-18.64876215916771
123,124,CO2,water,0.00042011,8.4022e-06,0.75123,0,VLE,298.15,Morgan1931,0.00035673506527058256,-15.085319256722633
124,125,CO2,water,0.0006393,1.2786e-05,1.112747,0,VLE,298.15,Morgan1931,0.0005354999882516822,-16.23651051905486
125,126,CO2,water,0.0013334,2.6668e-05,1.0,0,VLE,274.19,Murray1971,0.0009350255025668982,-29.876593477808743
126,127,CO2,water,0.00114905,2.2981e-05,1.0,0,VLE,278.15,Murray1971,0.000828415272681564,-27.90433204111536
127,128,CO2,water,0.000965001,1.93e-05,1.0,0,VLE,283.15,Murray1971,0.0007158485148906239,-25.818883618708803
128,129,CO2,water,0.00081745,1.6349e-05,1.0,0,VLE,288.15,Murray1971,0.000622849303212207,-23.805822593160794
129,130,CO2,water,0.00070066,1.40132e-05,1.0,0,VLE,293.15,Murray1971,0.0005452345147711008,-22.18272560570023
130,131,CO2,water,0.00060943,1.21886e-05,1.0,0,VLE,298.15,Murray1971,0.0004797847504815788,-21.27319782721907
131,132,CO2,water,0.000514386,1.02877e-05,1.0,0,VLE,305.15,Murray1971,0.0004039282031854855,-21.473717561231165
132,133,CO2,water,0.0004798,9.596e-06,1.0,0,VLE,308.15,Murray1971,0.00037589537852134616,-21.65581939946933
