,ID,ComponentSolute,ComponentSolvent,x1,StandardDeviation,Pressure,VapourPressure2,Type,Temperature,Reference,CPA,dev
104,105,CO2,water,0.01389342,0.000277868,7.76,0,VLE,353.65,Nighswander1989,94.13033545693727,91.75611139349435
105,106,CO2,water,0.01400154,0.000280031,7.84,0,VLE,353.65,Nighswander1989,95.22399079328947,91.76678068763266
106,107,CO2,water,0.00857752,0.00017155,4.31,0,VLE,353.35,Nighswander1989,50.50865296445312,91.46680866141236
107,108,CO2,water,0.0084694,0.000169388,4.34,0,VLE,353.75,Nighswander1989,50.02672077981944,91.3246362496925
108,109,CO2,water,0.0166685,0.00033337,10.16,0,VLE,353.45,Nighswander1989,127.15106057682313,92.00950432193883
109,110,CO2,water,0.01688474,0.000337695,10.18,0,VLE,352.85,Nighswander1989,129.24607296997283,92.1235517907263
110,111,CO2,water,0.0012028,2.4056e-05,0.914347,0,VLE,273.15,Morgan1931,1.2441701016934799,26.509486222546823
111,112,CO2,water,0.00151,3.02e-05,1.14326,0,VLE,273.15,Morgan1931,1.561370705427493,26.778439224848725
112,113,CO2,water,9.829e-05,1.9658e-06,0.12103,0,VLE,283.15,Morgan1931,0.14781408206323282,18.120115275468113
113,114,CO2,water,0.00025032,5.0064e-06,0.286891,0,VLE,283.15,Morgan1931,0.35728432438827273,19.702326573884044
114,115,CO2,water,0.00053175,1.0635e-05,0.57753,0,VLE,283.15,Morgan1931,0.7455945331609022,22.541009313520973
115,116,CO2,water,0.000810269,1.62054e-05,0.871776,0,VLE,283.15,Morgan1931,1.1306007514151333,22.892674632594346
116,117,CO2,water,0.0010159,2.0318e-05,1.12616,0,VLE,283.15,Morgan1931,1.4153129921985173,20.430321334742576
117,118,CO2,water,8.846e-05,1.7692e-06,0.143432,0,VLE,291.15,Morgan1931,0.17126191425712498,16.249914277696547
118,119,CO2,water,0.00023762,4.7524e-06,0.32675,0,VLE,291.15,Morgan1931,0.4251395541295634,23.142884065682274
119,120,CO2,water,0.0004673,9.346e-06,0.67552,0,VLE,291.15,Morgan1931,0.8167041002015115,17.287056617773327
120,121,CO2,water,0.000713689,1.42738e-05,1.01296,0,VLE,291.15,Morgan1931,1.2376260418791376,18.15298274897464
121,122,CO2,water,8.19e-05,1.638e-06,0.163145,0,VLE,298.15,Morgan1931,0.196760806679355,17.08460503220843
122,123,CO2,water,0.00020564,4.1128e-06,0.368862,0,VLE,298.15,Morgan1931,0.44620342405762337,17.333220654002726
123,124,CO2,water,0.00042011,8.4022e-06,0.75123,0,VLE,298.15,Morgan1931,0.8793147036115231,14.566423498373608
124,125,CO2,water,0.0006393,1.2786e-05,1.112747,0,VLE,298.15,Morgan1931,1.3229793122746154,15.890823864294623
125,126,CO2,water,0.0013334,2.6668e-05,1.0,0,VLE,274.19,Murray1971,1.424457137283653,29.797817440338363
126,127,CO2,water,0.00114905,2.2981e-05,1.0,0,VLE,278.15,Murray1971,1.3847887808986197,27.786821081040376
127,128,CO2,water,0.000965001,1.93e-05,1.0,0,VLE,283.15,Murray1971,1.3448025179268512,25.639639525541575
128,129,CO2,water,0.00081745,1.6349e-05,1.0,0,VLE,288.15,Murray1971,1.3080323366274733,23.549290640755828
129,130,CO2,water,0.00070066,1.40132e-05,1.0,0,VLE,293.15,Murray1971,1.2792395661338603,21.828559210201952
130,131,CO2,water,0.00060943,1.21886e-05,1.0,0,VLE,298.15,Murray1971,1.2624578144574239,20.789432442954332
131,132,CO2,water,0.000514386,1.02877e-05,1.0,0,VLE,305.15,Murray1971,1.2612851562714669,20.715787779811972
132,133,CO2,water,0.0004798,9.596e-06,1.0,0,VLE,308.15,Murray1971,1.2617234841257836,20.743331436612294
