Fluid,Property,Dataset,#T (K),P(Mpa),H2(mol fraction),rho(kg/m3),Z,Visc(Pa s),Thermal Conductivity (W/K/m),Run,JT,T (  C),T (   R)
H2,Viscosity,Carey1974,295.25,0.67,,,,0.00000884,,,,22.25,531.45
H2,Viscosity,Carey1974,297.16,0.924,,,,0.00000883,,,,24.16,534.888
H2,Viscosity,Carey1974,291.08,1.586,,,,0.00000882,,,,18.08,523.944
H2,Viscosity,Carey1974,291.79,2.261,,,,0.00000883,,,,18.79,525.222
H2,Viscosity,Carey1974,296.73,2.499,,,,0.00000884,,,,23.73,534.114
H2,Viscosity,Carey1974,297.78,3.367,,,,0.00000883,,,,24.78,536.004
H2,Viscosity,Carey1974,297.57,4.033,,,,0.00000885,,,,24.57,535.626
H2,Viscosity,Carey1974,297.47,4.273,,,,0.00000884,,,,24.47,535.446
H2,Viscosity,Carey1974,295.26,4.894,,,,0.00000885,,,,22.26,531.468
H2,Viscosity,Carey1974,297.56,5.765,,,,0.00000888,,,,24.56,535.608
H2,Viscosity,Carey1974,269.31,5.857,,,,0.0000089,,,,-3.69,484.758
H2,Viscosity,Carey1974,296.53,6.414,,,,0.00000891,,,,23.53,533.754
H2,Viscosity,Carey1974,294.6,6.991,,,,0.00000894,,,,21.6,530.28
H2,Viscosity,Carey1974,299.19,8.998,,,,0.00000908,,,,26.19,538.542
H2,Viscosity,Carey1974,299.15,11.024,,,,0.00000912,,,,26.15,538.47
H2,Viscosity,Michels1953,298.1,2.67801975,,,,0.000008941,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,3.100545,,,,0.000008953,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,3.48659325,,,,0.000008975,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,3.69937575,,,,0.000008959,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,3.700389,,,,0.000008971,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,4.55050575,,,,0.000008977,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,5.39555625,,,,0.000008986,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,15.2291475,,,,0.000009151,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,17.6609475,,,,0.000009222,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,20.1535425,,,,0.000009278,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,22.61574,,,,0.00000935,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,22.61574,,,,0.000009344,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,27.337485,,,,0.000009469,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,32.9812875,,,,0.00000963,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,43.6204125,,,,0.00000999,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,43.6204125,,,,0.00000995,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,48.5042775,,,,0.00001017,,,,25.1,536.58
H2,Viscosity,Michels1953,298.1,50.50038,,,,0.00001022,,,,25.1,536.58
H2,Viscosity,Michels1953,323.15,20.731095,,,,0.000009747,,,,50.15,581.67
H2,Viscosity,Michels1953,323.15,23.87217,,,,0.000009833,,,,50.15,581.67
H2,Viscosity,Michels1953,323.15,23.8823025,,,,0.000009807,,,,50.15,581.67
H2,Viscosity,Michels1953,323.15,29.6983575,,,,0.000009963,,,,50.15,581.67
H2,Viscosity,Michels1953,323.15,34.8558,,,,0.00001013,,,,50.15,581.67
H2,Viscosity,Michels1953,323.15,45.8495625,,,,0.00001045,,,,50.15,581.67
H2,Viscosity,Michels1953,323.15,55.9314,,,,0.00001077,,,,50.15,581.67
